;;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;Sensoren;Sensoren;
;;Gesamt;Heizung;Kühlung;Warmwasser;Pool;Gesamt;Heizung;Kühlung;Warmwasser;Pool;Gesamt;Heizung;Kühlung;Warmwasser;Pool;Gesamt;Heizung;Warmwasser;Pool;;;
Kategorie;Zeitstempel;Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Umgebung(kWh);Umgebung(kWh);Umgebung(kWh);Umgebung(kWh);Umgebung(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);ElektrischerZuheizer(kWh);ElektrischerZuheizer(kWh);ElektrischerZuheizer(kWh);ElektrischerZuheizer(kWh);Außentemperatur(C);Vorlauftemperatur(C);
Stunde;2026-02-28T00:00;0,2;0,2;0;0;0;1,2;1,2;0;0;0;0,2;0,2;0;0;0;0;0;0;0;14,1;25,9;
Stunde;2026-02-28T01:00;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;13,6;24,7;
Stunde;2026-02-28T02:00;0,2;0,2;0;0;0;0,7;0,7;0;0;0;0,2;0,2;0;0;0;0;0;0;0;13,1;23,5;
Stunde;2026-02-28T03:00;0,1;0,1;0;0;0;0,3;0,3;0;0;0;0,1;0,1;0;0;0;0;0;0;0;12,8;27;
Stunde;2026-02-28T04:00;0,2;0,2;0;0;0;0,8;0,8;0;0;0;0,2;0,2;0;0;0;0;0;0;0;12,9;24,3;
Stunde;2026-02-28T05:00;0,4;0,4;0;0;0;1,8;1,8;0;0;0;0,4;0,4;0;0;0;0;0;0;0;12,7;30,9;
Stunde;2026-02-28T06:00;0,4;0,4;0;0;0;1,5;1,5;0;0;0;0,4;0,4;0;0;0;0;0;0;0;12,2;32,3;
Stunde;2026-02-28T07:00;0,5;0,5;0;0;0;2,1;2,1;0;0;0;0,5;0,5;0;0;0;0;0;0;0;11,9;35,3;
Stunde;2026-02-28T08:00;0,3;0,3;0;0;0;1,1;1,1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;11,9;32,6;
Stunde;2026-02-28T09:00;0,4;0,4;0;0;0;1,5;1,5;0;0;0;0,4;0,4;0;0;0;0;0;0;0;12,2;34,2;
Stunde;2026-02-28T10:00;0,3;0,3;0;0;0;1,4;1,4;0;0;0;0,3;0,3;0;0;0;0;0;0;0;12,9;32,9;
Stunde;2026-02-28T11:00;0,3;0,3;0;0;0;1,4;1,4;0;0;0;0,3;0,3;0;0;0;0;0;0;0;13,8;31,8;
Stunde;2026-02-28T12:00;0,2;0,2;0;0;0;0,9;0,9;0;0;0;0,2;0,2;0;0;0;0;0;0;0;14,3;30,6;
Stunde;2026-02-28T13:00;0,2;0,2;0;0;0;0,9;0,9;0;0;0;0,2;0,2;0;0;0;0;0;0;0;14,8;30,6;
Stunde;2026-02-28T14:00;0,1;0,1;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;14,5;29,6;
Stunde;2026-02-28T15:00;0,3;0,3;0;0;0;1;1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;13,6;30,3;
Stunde;2026-02-28T16:00;0,3;0,3;0;0;0;1;1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;12,9;31,3;
Stunde;2026-02-28T17:00;0,4;0,4;0;0;0;1,6;1,6;0;0;0;0,4;0,4;0;0;0;0;0;0;0;11,8;32,2;
Stunde;2026-02-28T18:00;0,4;0,4;0;0;0;1,3;1,3;0;0;0;0,4;0,4;0;0;0;0;0;0;0;11,3;32,7;
Stunde;2026-02-28T19:00;0,4;0,4;0;0;0;1,5;1,5;0;0;0;0,4;0,4;0;0;0;0;0;0;0;10,9;33,8;
Stunde;2026-02-28T20:00;0,3;0,3;0;0;0;1;1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;10,5;34,7;
Stunde;2026-02-28T21:00;0,6;0,6;0;0;0;2,3;2,3;0;0;0;0,6;0,6;0;0;0;0;0;0;0;10;35,2;
Stunde;2026-02-28T22:00;0,5;0,5;0;0;0;1,9;1,9;0;0;0;0,5;0,5;0;0;0;0;0;0;0;9,8;36,3;
Stunde;2026-02-28T23:00;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;9,5;30;
Stunde;2026-03-01T00:00;0,3;0,3;0;0;0;1;1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;8,9;28,8;
Stunde;2026-03-01T01:00;0,3;0,3;0;0;0;1;1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;8,3;29,2;
