;;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;ProduzierteWärme;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;VerbrauchteEnergie;Sensoren;Sensoren;
;;Gesamt;Heizung;Kühlung;Warmwasser;Pool;Gesamt;Heizung;Kühlung;Warmwasser;Pool;Gesamt;Heizung;Kühlung;Warmwasser;Pool;Gesamt;Heizung;Warmwasser;Pool;;;
Kategorie;Zeitstempel;Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Umgebung(kWh);Umgebung(kWh);Umgebung(kWh);Umgebung(kWh);Umgebung(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);Wärmepumpe(kWh);ElektrischerZuheizer(kWh);ElektrischerZuheizer(kWh);ElektrischerZuheizer(kWh);ElektrischerZuheizer(kWh);Außentemperatur(C);Vorlauftemperatur(C);
Stunde;2026-02-24T00:00;0,2;0,2;0;0;0;0,7;0,7;0;0;0;0,2;0,2;0;0;0;0;0;0;0;10,1;29,8;
Stunde;2026-02-24T01:00;0,4;0,4;0;0;0;1,7;1,7;0;0;0;0,4;0,4;0;0;0;0;0;0;0;10,1;33,6;
Stunde;2026-02-24T02:00;0,3;0,3;0;0;0;1,1;1,1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;9,9;29,8;
Stunde;2026-02-24T03:00;0,3;0,3;0;0;0;1,1;1,1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;9,8;29,8;
Stunde;2026-02-24T04:00;0,4;0,4;0;0;0;1,3;1,3;0;0;0;0,3;0,3;0;0;0;0;0;0;0;9,9;30;
Stunde;2026-02-24T05:00;0,6;0,6;0;0;0;2,5;2,5;0;0;0;0,6;0,6;0;0;0;0;0;0;0;9,8;36,1;
Stunde;2026-02-24T06:00;0,5;0,5;0;0;0;2,2;2,2;0;0;0;0,6;0,6;0;0;0;0;0;0;0;9,9;35,8;
Stunde;2026-02-24T07:00;0,5;0,5;0;0;0;2,2;2,2;0;0;0;0,6;0,6;0;0;0;0;0;0;0;9,9;36;
Stunde;2026-02-24T08:00;0,6;0,6;0;0;0;2,2;2,2;0;0;0;0,6;0,6;0;0;0;0;0;0;0;10;36,3;
Stunde;2026-02-24T09:00;0,6;0,6;0;0;0;2,3;2,3;0;0;0;0,6;0,6;0;0;0;0;0;0;0;10,4;37,1;
Stunde;2026-02-24T10:00;0,5;0,5;0;0;0;1,9;1,9;0;0;0;0,5;0,5;0;0;0;0;0;0;0;10,7;37,5;
Stunde;2026-02-24T11:00;0,4;0,4;0;0;0;1,5;1,5;0;0;0;0,4;0,4;0;0;0;0;0;0;0;11,1;34,2;
Stunde;2026-02-24T12:00;0,3;0,3;0;0;0;1,2;1,2;0;0;0;0,3;0,3;0;0;0;0;0;0;0;11,1;35,5;
Stunde;2026-02-24T13:00;0,5;0,5;0;0;0;2;2;0;0;0;0,5;0,5;0;0;0;0;0;0;0;11,5;34,6;
Stunde;2026-02-24T14:00;0,3;0,3;0;0;0;0,9;0,9;0;0;0;0,3;0,3;0;0;0;0;0;0;0;12;32,9;
Stunde;2026-02-24T15:00;0,3;0,3;0;0;0;0,9;0,9;0;0;0;0,3;0,3;0;0;0;0;0;0;0;12,4;32,3;
Stunde;2026-02-24T16:00;0,2;0,2;0;0;0;0,9;0,9;0;0;0;0,2;0,2;0;0;0;0;0;0;0;12,1;33,6;
Stunde;2026-02-24T17:00;0,5;0,5;0;0;0;1,9;1,9;0;0;0;0,5;0,5;0;0;0;0;0;0;0;11,9;35,5;
Stunde;2026-02-24T18:00;0,3;0,3;0;0;0;0,9;0,9;0;0;0;0,3;0,3;0;0;0;0;0;0;0;11,7;32,4;
Stunde;2026-02-24T19:00;0,3;0,3;0;0;0;0,9;0,9;0;0;0;0,3;0,3;0;0;0;0;0;0;0;11,5;32,3;
Stunde;2026-02-24T20:00;0,4;0,4;0;0;0;1,7;1,7;0;0;0;0,4;0,4;0;0;0;0;0;0;0;11,4;33;
Stunde;2026-02-24T21:00;0,5;0,5;0;0;0;1,9;1,9;0;0;0;0,5;0,5;0;0;0;0;0;0;0;11,2;36,7;
Stunde;2026-02-24T22:00;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;10,7;30,5;
Stunde;2026-02-24T23:00;0,3;0,3;0;0;0;1,1;1,1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;10,4;29,7;
Stunde;2026-02-25T00:00;0,3;0,3;0;0;0;1;1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;9,9;29,6;
Stunde;2026-02-25T01:00;0,3;0,3;0;0;0;1,1;1,1;0;0;0;0,3;0,3;0;0;0;0;0;0;0;9,6;30;
